Name,Labels,Milestone,Estimacion,Origen,Descripcion
T-20 Admin de videos curados (CRUD),admin,Beta,4h,decision G,"Que: Alta/reordenar/baja de posts FEATURED y PRAYER (titulo, meta, enlace) via endpoints autenticados con CSRF; las escenas 1 y 4 leen sus listas por sort_order, sin limite de videos. Por que: Videos destacados y de oracion curados por la admin (decision G)."
T-21 Revision de seguridad XSS/SQLi,seguridad,Beta,2h,RA-03,"Que: Auditar th:text en todo dato de usuario, validacion del DTO y solo consultas parametrizadas. Por que: Defensa contra XSS y SQLi (RA-03)."
T-22 Estados vacios / de error,frontend,Beta,2h,F3,"Que: Grid vacio estilizado en cache fria y paginas 404/500 personalizadas. Por que: Robustez del sitio cuando no hay contenido o hay errores (F3)."
T-23 Preparacion de despliegue + docs,docs,GA,3h,GA / decision E,"Que: README (setup, variables de entorno, placeholder de credenciales demo), docs/DEMO.md, config de Railway, ddl-auto=validate, checklist SSL/backups de Supabase y HTTPS/forward-headers. Por que: Listo para produccion documentado."
T-24 Despliegue en Railway,setup,GA,2h,RI-04,"Que: Construir el JAR desde el repo, TLS + dominio y verificar backups de Supabase. Por que: Sitio en vivo por HTTPS (RI-04)."
Fuera de alcance: Modulo de contacto / invitaciones + notificaciones email,fuera-de-alcance,,,v1 out-of-scope,"Que: Formulario de contacto/invitaciones y sus notificaciones por email. Por que: Explicitamente fuera del alcance v1; se conserva la tarjeta para referencia futura."
Fuera de alcance: Analitica de visitas,fuera-de-alcance,,,v1 out-of-scope,"Que: Analitica/estadisticas de visitas. Por que: Fuera del alcance v1."
Fuera de alcance: Eventos / calendario liturgico,fuera-de-alcance,,,v1 out-of-scope,"Que: Modulo de eventos o calendario liturgico. Por que: Fuera del alcance v1."
Fuera de alcance: Multi-idioma (i18n),fuera-de-alcance,,,v1 out-of-scope,"Que: Soporte multi-idioma. Por que: El sitio v1 es solo en espanol; fuera del alcance."
Fuera de alcance: Frontend React separado (Vercel),fuera-de-alcance,,,v1 out-of-scope,"Que: Frontend React independiente desplegado en Vercel. Por que: Roadmap futuro; el v1 es server-rendered con Thymeleaf."
